depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,compound,AUC,ERBB2_expr,HER2_group
ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,TERFENADINE (BRD:BRD-A06352418-001-25-9),0.946579475434371,4.546999379348131,HER2_low
ACH-000147,T47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,TERFENADINE (BRD:BRD-A06352418-001-25-9),0.905628568852693,6.285341180473159,HER2_mid
ACH-000097,ZR751,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,TERFENADINE (BRD:BRD-A06352418-001-25-9),0.896896028213399,6.766449400825998,HER2_mid
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,TERFENADINE (BRD:BRD-A06352418-001-25-9),0.882617118673992,5.398114325909374,HER2_mid
ACH-000288,BT549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",SB-218078 (BRD:BRD-A06352508-001-03-7),0.789123781121017,4.085560624872626,HER2_low
ACH-000212,CAL120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,SB-218078 (BRD:BRD-A06352508-001-03-7),0.828989184622833,4.591308404185142,HER2_low
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,SB-218078 (BRD:BRD-A06352508-001-03-7),0.867430823690315,6.273094358271646,HER2_mid
ACH-000374,HCC1143,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,SB-218078 (BRD:BRD-A06352508-001-03-7),0.923925329404532,5.127798338365821,HER2_mid
ACH-000277,HCC1419,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,SB-218078 (BRD:BRD-A06352508-001-03-7),0.910082263706074,11.642241271184114,HER2_high
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,SB-218078 (BRD:BRD-A06352508-001-03-7),0.851247436061118,5.580531438155187,HER2_mid
ACH-000276,HCC38,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,SB-218078 (BRD:BRD-A06352508-001-03-7),0.676581472571136,7.114356612854375,HER2_mid
ACH-000643,HDQP1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,SB-218078 (BRD:BRD-A06352508-001-03-7),0.900616789157476,5.40356427614107,HER2_mid
ACH-000711,JIMT1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,SB-218078 (BRD:BRD-A06352508-001-03-7),0.894568874640288,8.432587832060696,HER2_high
ACH-000768,MDAMB231,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,SB-218078 (BRD:BRD-A06352508-001-03-7),0.903740246979143,4.596684735567345,HER2_mid
ACH-000573,MDAMB436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",SB-218078 (BRD:BRD-A06352508-001-03-7),0.872900902655646,3.871557840445523,HER2_low
ACH-000147,T47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,SB-218078 (BRD:BRD-A06352508-001-03-7),0.925467326377852,6.285341180473159,HER2_mid
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,SB-218078 (BRD:BRD-A06352508-001-03-7),0.783888710508534,5.398114325909374,HER2_mid
ACH-000927,BT474,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.840350087745101,10.471726012618872,HER2_high
