compound,n_total_spearman,unique_cell_lines_spearman,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05_spearman,significant_p_0_05_spearman,significant_p_0_10_spearman,n_total_mw,unique_cell_lines_mw,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05_mw,significant_p_0_05_mw,significant_p_0_10_mw
ARCTIGENIN (BRD:BRD-K53523901-001-04-4),16,16,-0.1647058823529412,0.542148135201078,negative,0.8343473658608532,False,False,False,,,,,,,,,,,,,,,
ARCYRIAFLAVIN-A (BRD:BRD-K72726508-001-02-1),13,13,0.1758241758241758,0.5655798619595344,positive,0.8379312384400485,False,False,False,,,,,,,,,,,,,,,
ARRY-334543 (BRD:BRD-K46386702-001-02-1),22,22,-0.5957086391869001,0.003440717848619222,negative,0.15190769301653867,False,True,True,8.0,8.0,3.0,5.0,0.8277324167361094,0.9094893982130117,0.7873768277131858,0.91098027333841,-0.08175698147690225,-0.12360344562522418,0.39285714285714285,0.638139534883721,False,False,False
ARRY-886 (BRD:BRD-K57080016-001-15-9),12,12,0.11188811188811189,0.729194990751066,positive,0.9212238582232287,False,False,False,,,,,,,,,,,,,,,
ARTEMISININ (BRD:BRD-K13112821-001-17-4),11,11,-0.36363636363636365,0.27163754099382253,negative,0.6853027105644152,False,False,False,,,,,,,,,,,,,,,
AS-703026 (BRD:BRD-K89014967-001-04-3),10,10,0.24848484848484845,0.4887763045192432,positive,0.804321107938609,False,False,False,,,,,,,,,,,,,,,
ASP-4130 (BRD:BRD-K53414658-001-08-2),10,10,0.006060606060606061,0.9867429111949892,positive,0.9957645606687721,False,False,False,,,,,,,,,,,,,,,
ASP-7487 (BRD:BRD-K86118762-001-01-8),14,14,0.35824175824175825,0.20849812479076704,positive,0.6306617630108551,False,False,False,,,,,,,,,,,,,,,
ASPIRIN (BRD:BRD-K11433652-001-17-0),12,12,0.0979020979020979,0.7621216559962992,positive,0.9346575308954613,False,False,False,,,,,,,,,,,,,,,
AST-1306 (BRD:BRD-K26838195-075-04-9),14,14,-0.5604395604395604,0.0371044770040744,negative,0.3270828544447713,False,True,True,,,,,,,,,,,,,,,
ASYMMETRICAL-DIMETHYLARGININE (BRD:BRD-K36269323-300-02-6),19,19,0.32631578947368417,0.17272947700679211,positive,0.5932199448549884,False,False,False,7.0,7.0,3.0,4.0,0.8919243790669033,0.8244425033039955,0.86696866398072,0.8258911656844845,0.06748187576290776,0.041077498296235526,0.22857142857142856,0.519205298013245,False,False,False
AT-7519 (BRD:BRD-K13390322-001-06-3),22,22,0.3551665725578769,0.10479718977207556,positive,0.4737083652396287,False,False,False,8.0,8.0,3.0,5.0,0.8349891290574029,0.7517889327524624,0.8309057382148302,0.7224846671147174,0.08320019630494047,0.10842107110011279,0.5714285714285714,0.8340425531914892,False,False,False
AT-9283 (BRD:BRD-K24576554-001-04-8),17,17,0.2058823529411765,0.42791485314270766,positive,0.7784837999874641,False,False,False,7.0,7.0,3.0,4.0,0.9133122452997497,0.7424517529319867,0.901151621587262,0.7546421908769105,0.17086049236776302,0.1465094307103515,0.05714285714285714,0.33220338983050846,False,False,True
AT13387 (BRD:BRD-K58435339-001-03-0),15,15,0.4678571428571427,0.07863023115438063,positive,0.41825598861034996,False,False,True,,,,,,,,,,,,,,,
ATIPAMEZOLE (BRD:BRD-K39252998-003-01-5),13,13,-0.2912087912087912,0.33438585619752936,negative,0.7346111921701703,False,False,False,,,,,,,,,,,,,,,
ATIPRIMOD (BRD:BRD-K38527262-300-01-0),16,16,0.11176470588235293,0.6802736949858407,positive,0.9012497368630407,False,False,False,,,,,,,,,,,,,,,
AURORA-A-INHIBITOR-I (BRD:BRD-K53561341-001-07-5),21,21,0.26493506493506497,0.24579261871540742,positive,0.6680064625656237,False,False,False,8.0,8.0,3.0,5.0,0.8988161301109536,0.8647148366268114,0.884891110178475,0.870242497339387,0.03410129348414226,0.014648612839088027,0.14285714285714285,0.3951612903225806,False,False,False
