compound,n_total,unique_cell_lines,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
ANISOMYCIN (BRD:BRD-K91370081-001-25-1),22,22,0.4703557312252965,0.027168310320796737,positive,0.28755148979330303,False,True,True
AFURESERTIB (BRD:BRD-K25412176-001-01-9),20,20,-0.4917293233082706,0.027658227513046155,negative,0.28755148979330303,False,True,True
ICG-001 (BRD:BRD-K94455792-001-01-8),17,17,0.5318627450980392,0.027987612204855013,positive,0.28755148979330303,False,True,True
CP-724714 (BRD:BRD-K76908866-001-07-6),18,18,-0.5170278637770898,0.02800614736378716,negative,0.28755148979330303,False,True,True
ER-27319 (BRD:BRD-K11927976-050-02-9),22,22,0.4669678147939018,0.028449501046477796,positive,0.28874608533379187,False,True,True
PARBENDAZOLE (BRD:BRD-K02407574-001-09-7),20,20,0.4842105263157894,0.030508493550666576,positive,0.3061249977868021,False,True,True
BNTX (BRD:BRD-A55484088-050-02-5),21,21,0.4714285714285714,0.030978075295294817,positive,0.307344275120734,False,True,True
BX-912 (BRD:BRD-K49669041-001-08-4),18,18,0.5067079463364293,0.03187313226051144,positive,0.31032670559076486,False,True,True
METHIAZOLE (BRD:BRD-K02764365-001-13-6),19,19,0.4929824561403509,0.03198157441535629,positive,0.31032670559076486,False,True,True
CMPD-1 (BRD:BRD-K54095730-001-03-1),22,22,0.45454545454545453,0.033562881866437376,positive,0.31547598093781004,False,True,True
HALOFUGINONE (BRD:BRD-K54247840-004-01-3),20,20,0.4766917293233082,0.03358407951093335,positive,0.31547598093781004,False,True,True
PACRITINIB (BRD:BRD-K19034817-001-01-4),20,20,0.4766917293233082,0.03358407951093335,positive,0.31547598093781004,False,True,True
BALAPIRAVIR (BRD:BRD-K47976015-001-01-2),17,17,0.5147058823529412,0.03450769883204253,positive,0.3204443395250724,False,True,True
AZD7762 (BRD:BRD-K86525559-001-07-8),21,21,0.4623376623376624,0.0348387956901551,positive,0.3204443395250724,False,True,True
CYCLOCYTIDINE (BRD:BRD-K67536197-003-11-4),18,18,0.49638802889576883,0.03614032375695943,positive,0.3270828544447713,False,True,True
RUBITECAN (BRD:BRD-K79821389-001-03-5),22,22,0.4477696216826652,0.03664259102857066,positive,0.3270828544447713,False,True,True
AST-1306 (BRD:BRD-K26838195-075-04-9),14,14,-0.5604395604395604,0.0371044770040744,negative,0.3270828544447713,False,True,True
HALOFANTRINE (BRD:BRD-A51964809-003-12-6),14,14,0.5604395604395604,0.0371044770040744,positive,0.3270828544447713,False,True,True
TANAPROGET (BRD:BRD-K99604664-001-01-1),16,16,0.5235294117647059,0.037412648130149384,positive,0.3270828544447713,False,True,True
CHLORAMBUCIL (BRD:BRD-K29458283-001-29-9),12,12,0.6013986013986015,0.03858845292201946,positive,0.3340549404915999,False,True,True
RIGOSERTIB (BRD:BRD-K55187425-236-05-2),13,13,0.576923076923077,0.038992623432448296,positive,0.334276567872348,False,True,True
NEMORUBICIN (BRD:BRD-K51911221-001-01-2),22,22,0.4409937888198759,0.0399399990443038,positive,0.3391059534242332,False,True,True
OLAPARIB (BRD:BRD-K02113016-001-19-6),14,14,0.5516483516483517,0.04084905835112285,positive,0.343521128800395,False,True,True
YM 201636 (BRD:BRD-K48488978-001-05-3),17,17,0.49509803921568635,0.04331441650993542,positive,0.3525300458925629,False,True,True
BERZOSERTIB (BRD:BRD-K04701033-001-03-9),22,22,0.4330886504799548,0.044075426333464486,positive,0.3525300458925629,False,True,True
PUROMYCIN (BRD:BRD-A28970875-300-04-9),21,21,0.44285714285714284,0.04437704849154563,positive,0.3525300458925629,False,True,True
CIS-DDP (BRD:BRD-K69172251-001-08-9),17,17,-0.4926470588235295,0.0445245262088992,negative,0.3525300458925629,False,True,True
