compound,n_total,unique_cell_lines,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
DANUSERTIB (BRD:BRD-K07881437-001-04-6),7,7,3,4,0.751624577545166,0.42000845217392874,0.817280347967666,0.394844315614417,0.33161612537123725,0.422436032353249,0.11428571428571428,0.3733333333333333,False,False,False
DOXORUBICIN (BRD:BRD-K92093830-003-30-8),7,7,3,4,0.655317467585506,0.570460873411582,0.662443737213834,0.556735281981418,0.084856594173924,0.10570845523241601,0.11428571428571428,0.3733333333333333,False,False,False
HA14-1 (BRD:BRD-K18163608-001-05-6),7,7,3,4,0.9257736403153606,0.877108110306364,0.922023791832767,0.8676770379130395,0.04866553000899654,0.05434675391972743,0.11428571428571428,0.3733333333333333,False,False,False
HALOFUGINONE (BRD:BRD-K54247840-004-01-3),7,7,3,4,0.7446449678131349,0.6030587499813937,0.741363336425648,0.5826192910396225,0.1415862178317412,0.1587440453860255,0.11428571428571428,0.3733333333333333,False,False,False
IXAZOMIB-CITRATE (BRD:BRD-A66419424-001-02-4),7,7,3,4,0.7784324313926567,0.670573012387308,0.804637551278392,0.6848543760768651,0.10785941900534868,0.11978317520152693,0.11428571428571428,0.3733333333333333,False,False,False
JNJ-7706621 (BRD:BRD-K11636097-001-03-1),7,7,3,4,0.898203343484826,0.8437513675714308,0.876095402619957,0.849875911451867,0.054451975913395234,0.02621949116808997,0.11428571428571428,0.3733333333333333,False,False,False
KX2-391 (BRD:BRD-K29968218-001-03-2),7,7,3,4,0.7048898989271647,0.562257197723948,0.714729773007655,0.5415175029247026,0.1426327012032167,0.17321227008295237,0.11428571428571428,0.3733333333333333,False,False,False
LY2334737 (BRD:BRD-K04993719-001-01-7),7,7,3,4,0.86951531178025,0.8227575207545563,0.84502574830794,0.8208304175700536,0.04675779102569366,0.024195330737886378,0.11428571428571428,0.3733333333333333,False,False,False
LY2874455 (BRD:BRD-K17203476-001-01-9),7,7,3,4,0.8182596954043694,0.648546052032109,0.84797970134637,0.6550536444527545,0.16971364337226036,0.19292605689361553,0.11428571428571428,0.3733333333333333,False,False,False
NMS-E973 (BRD:BRD-K58770988-001-01-8),7,7,3,4,0.728331520364032,0.5926950447892521,0.706496440982181,0.581233467085293,0.13563647557477998,0.125262973896888,0.11428571428571428,0.3733333333333333,False,False,False
OSIMERTINIB (BRD:BRD-K42805893-001-04-9),7,7,3,4,0.7297176457341772,0.8908394263345516,0.7224815427302904,0.9244276715179596,-0.1611217806003744,-0.20194612878766915,0.11428571428571428,0.3733333333333333,False,False,False
PACRITINIB (BRD:BRD-K19034817-001-01-4),7,7,3,4,0.9129183791515371,0.8659140471987252,0.896726022262594,0.86107245284161,0.04700433195281184,0.035653569420983966,0.11428571428571428,0.3733333333333333,False,False,False
PF-477736 (BRD:BRD-K03063480-001-06-6),7,7,3,4,0.881193306041287,0.6406380043944653,0.907022693751225,0.5933876955653501,0.2405553016468217,0.3136349981858749,0.11428571428571428,0.3733333333333333,False,False,False
SALINOMYCIN (BRD:BRD-A28301258-001-03-0),7,7,3,4,0.8810477251152636,0.80690369896812,0.871886900594688,0.7951506850343935,0.07414402614714366,0.07673621556029453,0.11428571428571428,0.3733333333333333,False,False,False
STATTIC (BRD:BRD-K17061841-001-03-5),7,7,3,4,0.9213277361405546,0.8744444975037458,0.936843965498405,0.8680446095696335,0.04688323863680888,0.06879935592877151,0.11428571428571428,0.3733333333333333,False,False,False
THONZONIUM (BRD:BRD-K13387373-004-14-5),7,7,3,4,0.8555134717212715,0.8139741831003743,0.845606351211676,0.8112856370495525,0.041539288620897175,0.03432071416212357,0.11428571428571428,0.3733333333333333,False,False,False
TRIPTOLIDE (BRD:BRD-K39484304-001-16-5),7,7,3,4,0.3501482748101455,0.0856003738490584,0.3209062551448,0.0462173268722442,0.2645479009610871,0.27468892827255575,0.11428571428571428,0.3733333333333333,False,False,False
WAY-170523 (BRD:BRD-K36198571-001-02-0),7,7,3,4,0.8109134378120704,0.8971779351948868,0.806766417175358,0.8802505434081616,-0.08626449738281639,-0.07348412623280354,0.11428571428571428,0.3733333333333333,False,False,False
WAY-600 (BRD:BRD-K85920262-001-02-1),7,7,3,4,0.7917859477685639,0.856090724663559,0.793864904928453,0.8660616186378496,-0.06430477689499503,-0.07219671370939662,0.11428571428571428,0.3733333333333333,False,False,False
AURORA-A-INHIBITOR-I (BRD:BRD-K53561341-001-07-5),8,8,3,5,0.8988161301109536,0.8647148366268114,0.884891110178475,0.870242497339387,0.03410129348414226,0.014648612839088027,0.14285714285714285,0.3951612903225806,False,False,False
