gene_original,SYMBOL,ENTREZID
PKIA (5569),PKIA,5569
XKR6 (286046),XKR6,286046
TSNARE1 (203062),TSNARE1,203062
FPR1 (2357),FPR1,2357
FEZ2 (9637),FEZ2,9637
SOX7 (83595),SOX7,83595
C11orf24 (53838),C11orf24,53838
ALK (238),ALK,238
KYAT1 (883),KYAT1,883
MTM1 (4534),MTM1,4534
TRMT61B (55006),TRMT61B,55006
INSR (3643),INSR,3643
MFN1 (55669),MFN1,55669
HSFX1 (100506164),HSFX1,100506164
NRTN (4902),NRTN,4902
KCNMB3 (27094),KCNMB3,27094
FUT3 (2525),FUT3,2525
KCNG3 (170850),KCNG3,170850
ATP6V0E2 (155066),ATP6V0E2,155066
PRKCE (5581),PRKCE,5581
JAGN1 (84522),JAGN1,84522
TADA3 (10474),TADA3,10474
SOCS5 (9655),SOCS5,9655
C1GALT1C1 (29071),C1GALT1C1,29071
BBLN (79095),BBLN,79095
MORN4 (118812),MORN4,118812
ZNF672 (79894),ZNF672,79894
ZNF692 (55657),ZNF692,55657
NAIF1 (203245),NAIF1,203245
RBKS (64080),RBKS,64080
GRIK1 (2897),GRIK1,2897
TMEM126A (84233),TMEM126A,84233
TMEM126B (55863),TMEM126B,55863
TRIM8 (81603),TRIM8,81603
NETO2 (81831),NETO2,81831
CLDN20 (49861),CLDN20,49861
CDC42BPG (55561),CDC42BPG,55561
SCAND1 (51282),SCAND1,51282
JUNB (3726),JUNB,3726
FAM241B (219738),FAM241B,219738
TMEM37 (140738),TMEM37,140738
UGT2B7 (7364),UGT2B7,7364
LRG1 (116844),LRG1,116844
SHCBP1 (79801),SHCBP1,79801
SOSTDC1 (25928),SOSTDC1,25928
NPTX1 (4884),NPTX1,4884
FAM98B (283742),FAM98B,283742
ZNF439 (90594),ZNF439,90594
ZNF440 (126070),ZNF440,126070
GAA (2548),GAA,2548
CANT1 (124583),CANT1,124583
KCNK3 (3777),KCNK3,3777
ZDHHC16 (84287),ZDHHC16,84287
CHST11 (50515),CHST11,50515
EXOSC1 (51013),EXOSC1,51013
PGAM1 (5223),PGAM1,5223
CHD7 (55636),CHD7,55636
ESCO2 (157570),ESCO2,157570
KRT19 (3880),KRT19,3880
KRT15 (3866),KRT15,3866
LURAP1 (541468),LURAP1,541468
CLCN5 (1184),CLCN5,1184
TPPP (11076),TPPP,11076
KCND3 (3752),KCND3,3752
APLN (8862),APLN,8862
KRT13 (3860),KRT13,3860
KRT9 (3857),KRT9,3857
PDE7B (27115),PDE7B,27115
MRPL36 (64979),MRPL36,64979
ZNF581 (51545),ZNF581,51545
NAT1 (9),NAT1,9
GLOD5 (392465),GLOD5,392465
KSR2 (283455),KSR2,283455
ZNF524 (147807),ZNF524,147807
MCC (4163),MCC,4163
ZBTB26 (57684),ZBTB26,57684
CDK5R2 (8941),CDK5R2,8941
DSEL (92126),DSEL,92126
POLR1C (9533),POLR1C,9533
ASXL1 (171023),ASXL1,171023
DLK2 (65989),DLK2,65989
ZNF562 (54811),ZNF562,54811
ZNF318 (24149),ZNF318,24149
ZNF561 (93134),ZNF561,93134
WIPF2 (147179),WIPF2,147179
HOPX (84525),HOPX,84525
NLRP5 (126206),NLRP5,126206
LRRC8C (84230),LRRC8C,84230
RSL1D1 (26156),RSL1D1,26156
LRRC8D (55144),LRRC8D,55144
PPID (5481),PPID,5481
COL24A1 (255631),COL24A1,255631
ETFDH (2110),ETFDH,2110
RXFP1 (59350),RXFP1,59350
LPAR3 (23566),LPAR3,23566
PTGER4 (5734),PTGER4,5734
TBCA (6902),TBCA,6902
NEUROD2 (4761),NEUROD2,4761
MAP6 (4135),MAP6,4135
OTP (23440),OTP,23440
BCL2L1 (598),BCL2L1,598
FGG (2266),FGG,2266
FGB (2244),FGB,2244
PLRG1 (5356),PLRG1,5356
ZNF584 (201514),ZNF584,201514
DSCAM (1826),DSCAM,1826
CLSTN1 (22883),CLSTN1,22883
CXXC5 (51523),CXXC5,51523
ZNF274 (10782),ZNF274,10782
PIK3CD (5293),PIK3CD,5293
SLC25A33 (84275),SLC25A33,84275
ENC1 (8507),ENC1,8507
SPSB1 (80176),SPSB1,80176
P2RY6 (5031),P2RY6,5031
BPTF (2186),BPTF,2186
ZIK1 (284307),ZIK1,284307
PLEKHG5 (57449),PLEKHG5,57449
ATF7IP (55729),ATF7IP,55729
LKAAEAR1 (198437),LKAAEAR1,198437
RGS19 (10287),RGS19,10287
TCEA2 (6919),TCEA2,6919
ANO5 (203859),ANO5,203859
HDAC3 (8841),HDAC3,8841
SPATA46 (284680),SPATA46,284680
GPHN (10243),GPHN,10243
VAT1L (57687),VAT1L,57687
TMEM51 (55092),TMEM51,55092
CAMTA1 (23261),CAMTA1,23261
LGALS4 (3960),LGALS4,3960
LRRC34 (151827),LRRC34,151827
PAH (5053),PAH,5053
AFG2B (79029),AFG2B,79029
GATM (2628),GATM,2628
RASGRP4 (115727),RASGRP4,115727
NHLH1 (4807),NHLH1,4807
SLFNL1 (200172),SLFNL1,200172
BCL2 (596),BCL2,596
RHNO1 (83695),RHNO1,83695
CTPS1 (1503),CTPS1,1503
KNDC1 (85442),KNDC1,85442
WDR87 (83889),WDR87,83889
METTL18 (92342),METTL18,92342
CFAP46 (54777),CFAP46,54777
COL8A2 (1296),COL8A2,1296
PWWP2B (170394),PWWP2B,170394
ZNF540 (163255),ZNF540,163255
FBXL14 (144699),FBXL14,144699
EXOSC10 (5394),EXOSC10,5394
ZNF570 (148268),ZNF570,148268
NINJ2 (4815),NINJ2,4815
MLLT3 (4300),MLLT3,4300
FAM90A1 (55138),FAM90A1,55138
RRM2 (6241),RRM2,6241
TRAPPC12 (51112),TRAPPC12,51112
RPS21 (6227),RPS21,6227
C3AR1 (719),C3AR1,719
MRM3 (55178),MRM3,55178
PTEN (5728),PTEN,5728
RPS7 (6201),RPS7,6201
PRND (23627),PRND,23627
RNASEH1 (246243),RNASEH1,246243
PRNP (5621),PRNP,5621
KLF17 (128209),KLF17,128209
ADRA1D (146),ADRA1D,146
FRMD5 (84978),FRMD5,84978
AQP4 (361),AQP4,361
CYP4F11 (57834),CYP4F11,57834
TLN2 (83660),TLN2,83660
LGALS9C (654346),LGALS9C,654346
TVP23B (51030),TVP23B,51030
FBXW10 (10517),FBXW10,10517
ZNF217 (7764),ZNF217,7764
SRGAP2C (653464),SRGAP2C,653464
SCG2 (7857),SCG2,7857
ATPAF2 (91647),ATPAF2,91647
CYP4F22 (126410),CYP4F22,126410
FOXB1 (27023),FOXB1,27023
PPIH (10465),PPIH,10465
DRC3 (83450),DRC3,83450
ZNF57 (126295),ZNF57,126295
SHLD1 (149840),SHLD1,149840
JMJD1C (221037),JMJD1C,221037
LDHAL6B (92483),LDHAL6B,92483
SYNPO (11346),SYNPO,11346
ZNF556 (80032),ZNF556,80032
MAL (4118),MAL,4118
ZNF554 (115196),ZNF554,115196
RAB33B (83452),RAB33B,83452
THOP1 (7064),THOP1,7064
GAP43 (2596),GAP43,2596
EPHX4 (253152),EPHX4,253152
LAMB2 (3913),LAMB2,3913
USP19 (10869),USP19,10869
QARS1 (5859),QARS1,5859
ORMDL3 (94103),ORMDL3,94103
SERF1A (8293),SERF1A,8293
KLF11 (8462),KLF11,8462
LRRC15 (131578),LRRC15,131578
SMN1 (6606),SMN1,6606
EIF2AK3 (9451),EIF2AK3,9451
SPMIP9 (200523),SPMIP9,200523
MOB3A (126308),MOB3A,126308
KRCC1 (51315),KRCC1,51315
NME6 (10201),NME6,10201
CYCS (54205),CYCS,54205
SLFN12 (55106),SLFN12,55106
CALB2 (794),CALB2,794
SLC9C1 (285335),SLC9C1,285335
FRMD3 (257019),FRMD3,257019
SNTB1 (6641),SNTB1,6641
MTBP (27085),MTBP,27085
TEFM (79736),TEFM,79736
MRPL13 (28998),MRPL13,28998
MALT1 (10892),MALT1,10892
ISG20 (3669),ISG20,3669
MBOAT1 (154141),MBOAT1,154141
ID4 (3400),ID4,3400
CXCR6 (10663),CXCR6,10663
CEBPB (1051),CEBPB,1051
AZU1 (566),AZU1,566
PAIP1 (10605),PAIP1,10605
CLEC7A (64581),CLEC7A,64581
C5orf34 (375444),C5orf34,375444
C1QTNF4 (114900),C1QTNF4,114900
NEGR1 (257194),NEGR1,257194
ZNF131 (7690),ZNF131,7690
MACROD2 (140733),MACROD2,140733
DPAGT1 (1798),DPAGT1,1798
BSG (682),BSG,682
HINFP (25988),HINFP,25988
CERS6 (253782),CERS6,253782
SPTLC3 (55304),SPTLC3,55304
COPRS (55352),COPRS,55352
TP53RK (112858),TP53RK,112858
B3GALT1 (8708),B3GALT1,8708
BPGM (669),BPGM,669
POP7 (10248),POP7,10248
ALG14 (199857),ALG14,199857
SUCLG2 (8801),SUCLG2,8801
STARD5 (80765),STARD5,80765
RCAN2 (10231),RCAN2,10231
IL16 (3603),IL16,3603
ABCG4 (64137),ABCG4,64137
GNB2 (2783),GNB2,2783
CFAP53 (220136),CFAP53,220136
MCRIP2 (84331),MCRIP2,84331
C2CD2L (9854),C2CD2L,9854
ARNT2 (9915),ARNT2,9915
GNG12 (55970),GNG12,55970
PRSS27 (83886),PRSS27,83886
SYNPO2 (171024),SYNPO2,171024
DNAJB7 (150353),DNAJB7,150353
CLP1 (10978),CLP1,10978
TTC36 (143941),TTC36,143941
RSPH9 (221421),RSPH9,221421
COPS9 (150678),COPS9,150678
GTPBP2 (54676),GTPBP2,54676
FGGY (55277),FGGY,55277
IL17D (53342),IL17D,53342
FUT9 (10690),FUT9,10690
TCEAL1 (9338),TCEAL1,9338
ZNF24 (7572),ZNF24,7572
MANEA (79694),MANEA,79694
RAB40A (142684),RAB40A,142684
MAB21L4 (79919),MAB21L4,79919
AGXT (189),AGXT,189
AFF1 (4299),AFF1,4299
FIBP (9158),FIBP,9158
CARNS1 (57571),CARNS1,57571
BANP (54971),BANP,54971
PPP1CA (5499),PPP1CA,5499
HCFC1 (3054),HCFC1,3054
CTSW (1521),CTSW,1521
NIPAL4 (348938),NIPAL4,348938
MUCL1 (118430),MUCL1,118430
PDE3A (5139),PDE3A,5139
RASGRP1 (10125),RASGRP1,10125
KLHL6 (89857),KLHL6,89857
CHCHD1 (118487),CHCHD1,118487
MRPL52 (122704),MRPL52,122704
SMPDL3A (10924),SMPDL3A,10924
RND1 (27289),RND1,27289
RAD9A (5883),RAD9A,5883
EFEMP2 (30008),EFEMP2,30008
AGAP5 (729092),AGAP5,729092
WASHC2C (253725),WASHC2C,253725
TMEM134 (80194),TMEM134,80194
ZMAT3 (64393),ZMAT3,64393
ZFAND4 (93550),ZFAND4,93550
ZNF738 (148203),ZNF738,148203
SLFN11 (91607),SLFN11,91607
GARIN2 (161142),GARIN2,161142
CORO1B (57175),CORO1B,57175
FUT10 (84750),FUT10,84750
LRRC20 (55222),LRRC20,55222
MUS81 (80198),MUS81,80198
PURG (29942),PURG,29942
TMEM217 (221468),TMEM217,221468
ZNF596 (169270),ZNF596,169270
CFL1 (1072),CFL1,1072
TMCC1 (23023),TMCC1,23023
NAA16 (79612),NAA16,79612
EFCAB12 (90288),EFCAB12,90288
PSME3IP1 (80011),PSME3IP1,80011
RAB43 (339122),RAB43,339122
ZNG1A (55871),ZNG1A,55871
HOXC5 (3222),HOXC5,3222
RAB37 (326624),RAB37,326624
DCP2 (167227),DCP2,167227
SNX32 (254122),SNX32,254122
RPL38 (6169),RPL38,6169
CYP7B1 (9420),CYP7B1,9420
OVOL1 (5017),OVOL1,5017
RARG (5916),RARG,5916
CES4A (283848),CES4A,283848
CES3 (23491),CES3,23491
SSH3 (54961),SSH3,54961
CES2 (8824),CES2,8824
PDP2 (57546),PDP2,57546
SP3 (6670),SP3,6670
DMXL1 (1657),DMXL1,1657
METAP1D (254042),METAP1D,254042
ZNF621 (285268),ZNF621,285268
EGFL7 (51162),EGFL7,51162
NADSYN1 (55191),NADSYN1,55191
DHCR7 (1717),DHCR7,1717
LVRN (206338),LVRN,206338
NBEA (26960),NBEA,26960
RNASEH2C (84153),RNASEH2C,84153
MYEOV (26579),MYEOV,26579
ANKRD13D (338692),ANKRD13D,338692
MRGPRF (116535),MRGPRF,116535
MYD88 (4615),MYD88,4615
MRGPRD (116512),MRGPRD,116512
OXSR1 (9943),OXSR1,9943
SLC22A13 (9390),SLC22A13,9390
PHF8 (23133),PHF8,23133
LCLAT1 (253558),LCLAT1,253558
ADH6 (130),ADH6,130
KAT5 (10524),KAT5,10524
SH3RF3 (344558),SH3RF3,344558
GXYLT2 (727936),GXYLT2,727936
HPSE2 (60495),HPSE2,60495
DCAKD (79877),DCAKD,79877
TADA2B (93624),TADA2B,93624
CFAP184 (257236),CFAP184,257236
GRK2 (156),GRK2,156
RELA (5970),RELA,5970
EVC2 (132884),EVC2,132884
ZNF680 (340252),ZNF680,340252
HECTD4 (283450),HECTD4,283450
FAM222B (55731),FAM222B,55731
BNC2 (54796),BNC2,54796
RXFP4 (339403),RXFP4,339403
HPSE (10855),HPSE,10855
COQ2 (27235),COQ2,27235
HSPA6 (3310),HSPA6,3310
TRMT112 (51504),TRMT112,51504
LRRN3 (54674),LRRN3,54674
KDM2A (22992),KDM2A,22992
ACSM6 (142827),ACSM6,142827
ADCK5 (203054),ADCK5,203054
MRPL57 (78988),MRPL57,78988
NOC3L (64318),NOC3L,64318
ESRRA (2101),ESRRA,2101
RHOD (29984),RHOD,29984
COMMD1 (150684),COMMD1,150684
RAPH1 (65059),RAPH1,65059
MTX1 (4580),MTX1,4580
ADCY5 (111),ADCY5,111
PARP14 (54625),PARP14,54625
CYSLTR1 (10800),CYSLTR1,10800
CKS1B (1163),CKS1B,1163
ABLIM3 (22885),ABLIM3,22885
MAB21L3 (126868),MAB21L3,126868
MFSD4B (91749),MFSD4B,91749
VANGL1 (81839),VANGL1,81839
GLRX (2745),GLRX,2745
IQCB1 (9657),IQCB1,9657
SYT12 (91683),SYT12,91683
GOLGB1 (2804),GOLGB1,2804
C11orf86 (254439),C11orf86,254439
DMRT2 (10655),DMRT2,10655
ZNF483 (158399),ZNF483,158399
PLAC8L1 (153770),PLAC8L1,153770
SLC2A14 (144195),SLC2A14,144195
GPR137 (56834),GPR137,56834
SNCG (6623),SNCG,6623
MMRN2 (79812),MMRN2,79812
MZT2A (653784),MZT2A,653784
TNKS (8658),TNKS,8658
ZNF449 (203523),ZNF449,203523
ZBTB21 (49854),ZBTB21,49854
PPP1R3B (79660),PPP1R3B,79660
STOX2 (56977),STOX2,56977
MAP3K11 (4296),MAP3K11,4296
TRIB1 (10221),TRIB1,10221
KCNK7 (10089),KCNK7,10089
NDNF (79625),NDNF,79625
OLR1 (4973),OLR1,4973
GLIPR1L1 (256710),GLIPR1L1,256710
DAG1 (1605),DAG1,1605
ARV1 (64801),ARV1,64801
NAA20 (51126),NAA20,51126
IHO1 (339834),IHO1,339834
SAA1 (6288),SAA1,6288
MICOS10 (440574),MICOS10,440574
EHBP1L1 (254102),EHBP1L1,254102
THAP2 (83591),THAP2,83591
RNF26 (79102),RNF26,79102
PPP1R14B (26472),PPP1R14B,26472
ZNRD2 (10534),ZNRD2,10534
AGR3 (155465),AGR3,155465
SMARCC1 (6599),SMARCC1,6599
ZNF417 (147687),ZNF417,147687
PTPRM (5797),PTPRM,5797
FKBP2 (2286),FKBP2,2286
VEGFB (7423),VEGFB,7423
PEAK1 (79834),PEAK1,79834
TNFRSF10D (8793),TNFRSF10D,8793
MST1 (4485),MST1,4485
TNFRSF10C (8794),TNFRSF10C,8794
GMPPB (29925),GMPPB,29925
MOB1B (92597),MOB1B,92597
ZNF622 (90441),ZNF622,90441
CSPG4 (1464),CSPG4,1464
SNX33 (257364),SNX33,257364
CIMIP2C (339778),CIMIP2C,339778
NABP1 (64859),NABP1,64859
ADGRF3 (165082),ADGRF3,165082
CHD2 (1106),CHD2,1106
XCR1 (2829),XCR1,2829
CCDC106 (29903),CCDC106,29903
CEP83 (51134),CEP83,51134
SULT1B1 (27284),SULT1B1,27284
NUDT4 (11163),NUDT4,11163
PC (5091),PC,5091
SCAI (286205),SCAI,286205
NMNAT1 (64802),NMNAT1,64802
LRFN4 (78999),LRFN4,78999
SLC19A1 (6573),SLC19A1,6573
HSPB7 (27129),HSPB7,27129
RCE1 (9986),RCE1,9986
UQCRH (7388),UQCRH,7388
EIF1AX (1964),EIF1AX,1964
SPDYE2B (100310812),SPDYE2B,100310812
BCLAF3 (256643),BCLAF3,256643
PSMD1 (5707),PSMD1,5707
ADGRG2 (10149),ADGRG2,10149
MUC13 (56667),MUC13,56667
SUSD5 (26032),SUSD5,26032
HEG1 (57493),HEG1,57493
WFIKKN2 (124857),WFIKKN2,124857
TOP6BL (79703),TOP6BL,79703
TOMM20 (9804),TOMM20,9804
SPMIP3 (200159),SPMIP3,200159
AGFG1 (3267),AGFG1,3267
STAT5B (6777),STAT5B,6777
CD7 (924),CD7,924
CNP (1267),CNP,1267
JUP (3728),JUP,3728
HAP1 (9001),HAP1,9001
TDRD12 (91646),TDRD12,91646
EIF1 (10209),EIF1,10209
ENDOV (284131),ENDOV,284131
RNF213 (57674),RNF213,57674
TIGD3 (220359),TIGD3,220359
PLK3 (1263),PLK3,1263
NET1 (10276),NET1,10276
DPY19L1 (23333),DPY19L1,23333
PHOSPHO1 (162466),PHOSPHO1,162466
ZNF791 (163049),ZNF791,163049
PHC3 (80012),PHC3,80012
GPR160 (26996),GPR160,26996
CBX2 (84733),CBX2,84733
SPTBN2 (6712),SPTBN2,6712
GOLIM4 (27333),GOLIM4,27333
RBM4B (83759),RBM4B,83759
ATP5MK (84833),ATP5MK,84833
HOXB2 (3212),HOXB2,3212
C1QTNF1 (114897),C1QTNF1,114897
MARCHF3 (115123),MARCHF3,115123
SWSAP1 (126074),SWSAP1,126074
SLCO4C1 (353189),SLCO4C1,353189
RBM4 (5936),RBM4,5936
CIMAP3 (128344),CIMAP3,128344
XXYLT1 (152002),XXYLT1,152002
UBXN2A (165324),UBXN2A,165324
LRRC63 (220416),LRRC63,220416
TCAP (8557),TCAP,8557
CCS (9973),CCS,9973
NRROS (375387),NRROS,375387
CEP19 (84984),CEP19,84984
KLHL15 (80311),KLHL15,80311
FBXO45 (200933),FBXO45,200933
CBY2 (220082),CBY2,220082
GNG5 (2787),GNG5,2787
SLC25A30 (253512),SLC25A30,253512
SPATA31G1 (138724),SPATA31G1,138724
CD34 (947),CD34,947
CTSF (8722),CTSF,8722
MSRB3 (253827),MSRB3,253827
LEMD3 (23592),LEMD3,23592
UQCC4 (283951),UQCC4,283951
TLR10 (81793),TLR10,81793
TLR1 (7096),TLR1,7096
TLR6 (10333),TLR6,10333
FAM174A (345757),FAM174A,345757
RGMB (285704),RGMB,285704
FAM53A (152877),FAM53A,152877
CYB561D1 (284613),CYB561D1,284613
GSTA3 (2940),GSTA3,2940
ZDHHC24 (254359),ZDHHC24,254359
TRMT10C (54931),TRMT10C,54931
CTU2 (348180),CTU2,348180
MGA (23269),MGA,23269
KICS2 (144577),KICS2,144577
ARL13A (392509),ARL13A,392509
SNX31 (169166),SNX31,169166
PIGG (54872),PIGG,54872
PRPF8 (10594),PRPF8,10594
ADCY6 (112),ADCY6,112
PITPNA (5306),PITPNA,5306
DDX23 (9416),DDX23,9416
ZNHIT2 (741),ZNHIT2,741
ZBTB4 (57659),ZBTB4,57659
TNK1 (8711),TNK1,8711
ZHX3 (23051),ZHX3,23051
PHLDA3 (23612),PHLDA3,23612
SLC16A11 (162515),SLC16A11,162515
SLC16A13 (201232),SLC16A13,201232
GLIS1 (148979),GLIS1,148979
CHRNA9 (55584),CHRNA9,55584
PODN (127435),PODN,127435
EXO1 (9156),EXO1,9156
RALGAPA1 (253959),RALGAPA1,253959
LIG4 (3981),LIG4,3981
TRHR (7201),TRHR,7201
GTF2IRD2B (389524),GTF2IRD2B,389524
ATP2A2 (488),ATP2A2,488
ZWILCH (55055),ZWILCH,55055
RPL4 (6124),RPL4,6124
SNAPC5 (10302),SNAPC5,10302
STARD6 (147323),STARD6,147323
C12orf76 (400073),C12orf76,400073
ZCCHC12 (170261),ZCCHC12,170261
CNTNAP2 (26047),CNTNAP2,26047
GALNTL6 (442117),GALNTL6,442117
LINGO2 (158038),LINGO2,158038
BBS1 (582),BBS1,582
DENND4A (10260),DENND4A,10260
IGDCC3 (9543),IGDCC3,9543
GCSAM (257144),GCSAM,257144
ANKRD36C (400986),ANKRD36C,400986
SLC26A9 (115019),SLC26A9,115019
MFSD4A (148808),MFSD4A,148808
PELI3 (246330),PELI3,246330
TTC9B (148014),TTC9B,148014
MYO1H (283446),MYO1H,283446
TMEM81 (388730),TMEM81,388730
MRPL11 (65003),MRPL11,65003
IL20RB (53833),IL20RB,53833
GOLT1A (127845),GOLT1A,127845
AKIRIN1 (79647),AKIRIN1,79647
MSL2 (55167),MSL2,55167
ZNF497 (162968),ZNF497,162968
TRAM1L1 (133022),TRAM1L1,133022
ANGEL2 (90806),ANGEL2,90806
UGT8 (7368),UGT8,7368
KY (339855),KY,339855
IQCK (124152),IQCK,124152
SLCO2A1 (6578),SLCO2A1,6578
ZNF266 (10781),ZNF266,10781
SLC29A2 (3177),SLC29A2,3177
BRSK2 (9024),BRSK2,9024
B4GAT1 (11041),B4GAT1,11041
TMEM167A (153339),TMEM167A,153339
SH3PXD2B (285590),SH3PXD2B,285590
RESF1 (55196),RESF1,55196
LARP7 (51574),LARP7,51574
FGFBP3 (143282),FGFBP3,143282
NR1D2 (9975),NR1D2,9975
BRMS1 (25855),BRMS1,25855
RPL15 (6138),RPL15,6138
FAM241A (132720),FAM241A,132720
HRAS (3265),HRAS,3265
SRP72 (6731),SRP72,6731
PCP2 (126006),PCP2,126006
RIN1 (9610),RIN1,9610
ODAPH (152816),ODAPH,152816
THAP6 (152815),THAP6,152815
CEP135 (9662),CEP135,9662
FZD4 (8322),FZD4,8322
CD248 (57124),CD248,57124
BTC (685),BTC,685
PDZK1 (5174),PDZK1,5174
DENND6A (201627),DENND6A,201627
PDE12 (201626),PDE12,201626
GLMN (11146),GLMN,11146
DNAH12 (201625),DNAH12,201625
YIF1A (10897),YIF1A,10897
CNIH2 (254263),CNIH2,254263
NLRP6 (171389),NLRP6,171389
NDUFA11 (126328),NDUFA11,126328
RSRC1 (51319),RSRC1,51319
RAB1B (81876),RAB1B,81876
PTDSS2 (81490),PTDSS2,81490
MICOS13 (125988),MICOS13,125988
C3orf33 (285315),C3orf33,285315
SEZ6L2 (26470),SEZ6L2,26470
ASPHD1 (253982),ASPHD1,253982
KCTD13 (253980),KCTD13,253980
AMZ1 (155185),AMZ1,155185
CD164L2 (388611),CD164L2,388611
FUT1 (2523),FUT1,2523
DHX36 (170506),DHX36,170506
ZIC4 (84107),ZIC4,84107
FBXW8 (26259),FBXW8,26259
ZG16 (653808),ZG16,653808
KLC2 (64837),KLC2,64837
SLC22A1 (6580),SLC22A1,6580
TEX36 (387718),TEX36,387718
CTBP2 (1488),CTBP2,1488
CHST2 (9435),CHST2,9435
ZDHHC14 (79683),ZDHHC14,79683
ATR (545),ATR,545
UBE2C (11065),UBE2C,11065
GK5 (256356),GK5,256356
VCPIP1 (80124),VCPIP1,80124
DES (1674),DES,1674
PDIK1L (149420),PDIK1L,149420
SPSB4 (92369),SPSB4,92369
TRAF6 (7189),TRAF6,7189
ZNF654 (55279),ZNF654,55279
TVP23C (201158),TVP23C,201158
MRPS22 (56945),MRPS22,56945
PACS1 (55690),PACS1,55690
MARCKSL1 (65108),MARCKSL1,65108
SH3BP5L (80851),SH3BP5L,80851
YPEL2 (388403),YPEL2,388403
CADM2 (253559),CADM2,253559
ABO (28),ABO,28
PSMD2 (5708),PSMD2,5708
PPM1E (22843),PPM1E,22843
FAM131A (131408),FAM131A,131408
CSRP2 (1466),CSRP2,1466
INHBC (3626),INHBC,3626
PARL (55486),PARL,55486
DDIT3 (1649),DDIT3,1649
PCCA (5095),PCCA,5095
DCTN2 (10540),DCTN2,10540
ZNF408 (79797),ZNF408,79797
CTDSP2 (10106),CTDSP2,10106
CKAP5 (9793),CKAP5,9793
ARHGAP1 (392),ARHGAP1,392
MED16 (10025),MED16,10025
ATG13 (9776),ATG13,9776
CIROZ (148345),CIROZ,148345
CHST1 (8534),CHST1,8534
GOLGA8A (23015),GOLGA8A,23015
VWA3A (146177),VWA3A,146177
TP53I11 (9537),TP53I11,9537
CENPS (378708),CENPS,378708
DOLK (22845),DOLK,22845
PHYHD1 (254295),PHYHD1,254295
CATSPER1 (117144),CATSPER1,117144
CCNE2 (9134),CCNE2,9134
PHYKPL (85007),PHYKPL,85007
ANKS4B (257629),ANKS4B,257629
CST6 (1474),CST6,1474
GRAMD2A (196996),GRAMD2A,196996
ZNF519 (162655),ZNF519,162655
LSM1 (27257),LSM1,27257
ISX (91464),ISX,91464
BANF1 (8815),BANF1,8815
APOF (319),APOF,319
CHRNA7 (1139),CHRNA7,1139
TMEM9B (56674),TMEM9B,56674
NRIP3 (56675),NRIP3,56675
PTPN2 (5771),PTPN2,5771
SCUBE2 (57758),SCUBE2,57758
EIF1AD (84285),EIF1AD,84285
SMAD2 (4087),SMAD2,4087
EIF3F (8665),EIF3F,8665
ZNF25 (219749),ZNF25,219749
ARL10 (285598),ARL10,285598
CLTB (1212),CLTB,1212
PCSK1 (5122),PCSK1,5122
LPL (4023),LPL,4023
RFESD (317671),RFESD,317671
CCDC14 (64770),CCDC14,64770
TBC1D10C (374403),TBC1D10C,374403
SART1 (9092),SART1,9092
PPP2R2D (55844),PPP2R2D,55844
MCTP1 (79772),MCTP1,79772
POLD4 (57804),POLD4,57804
DPP10 (57628),DPP10,57628
CLCF1 (23529),CLCF1,23529
LIPT2 (387787),LIPT2,387787
KCNE3 (10008),KCNE3,10008
CABP4 (57010),CABP4,57010
ALG10B (144245),ALG10B,144245
DRAP1 (10589),DRAP1,10589
LONRF3 (79836),LONRF3,79836
UCP3 (7352),UCP3,7352
UCP2 (7351),UCP2,7351
C11orf68 (83638),C11orf68,83638
PAAF1 (80227),PAAF1,80227
MRPL48 (51642),MRPL48,51642
RAB6A (5870),RAB6A,5870
P2RY2 (5029),P2RY2,5029
FOSL1 (8061),FOSL1,8061
ERCC4 (2072),ERCC4,2072
SUGCT (79783),SUGCT,79783
CCDC85B (11007),CCDC85B,11007
TMEM70 (54968),TMEM70,54968
RPS6KB2 (6199),RPS6KB2,6199
RMI2 (116028),RMI2,116028
TOM1L2 (146691),TOM1L2,146691
ZNF77 (58492),ZNF77,58492
GPR156 (165829),GPR156,165829
MTLN (205251),MTLN,205251
KDF1 (126695),KDF1,126695
B3GNTL1 (146712),B3GNTL1,146712
MLXIP (22877),MLXIP,22877
NR2F1 (7025),NR2F1,7025
AURKAIP1 (54998),AURKAIP1,54998
TTLL11 (158135),TTLL11,158135
TOMM5 (401505),TOMM5,401505
SLC35E3 (55508),SLC35E3,55508
PRIMA1 (145270),PRIMA1,145270
ZNF169 (169841),ZNF169,169841
RUVBL1 (8607),RUVBL1,8607
SFN (2810),SFN,2810
MSRA (4482),MSRA,4482
CCDC168 (643677),CCDC168,643677
CTDNEP1 (23399),CTDNEP1,23399
ETV4 (2118),ETV4,2118
SWI5 (375757),SWI5,375757
BAIAP2 (10458),BAIAP2,10458
CALCB (797),CALCB,797
CREG2 (200407),CREG2,200407
TMEM270 (135886),TMEM270,135886
HOXD8 (3234),HOXD8,3234
ZDHHC21 (340481),ZDHHC21,340481
TSPEAR (54084),TSPEAR,54084
PLEKHF2 (79666),PLEKHF2,79666
A2M (2),A2M,2
ARL4D (379),ARL4D,379
DOK7 (285489),DOK7,285489
LRRN1 (57633),LRRN1,57633
UBE2O (63893),UBE2O,63893
ORAI3 (93129),ORAI3,93129
KLHL38 (340359),KLHL38,340359
UNC119B (84747),UNC119B,84747
DENND2C (163259),DENND2C,163259
