gene_original,SYMBOL,ENTREZID
TUBG2 (27175),TUBG2,27175
RPL26L1 (51121),RPL26L1,51121
FLT4 (2324),FLT4,2324
NSUN2 (54888),NSUN2,54888
FBXO42 (54455),FBXO42,54455
MFAP3 (4238),MFAP3,4238
MRI1 (84245),MRI1,84245
METTL1 (4234),METTL1,4234
HOXC8 (3224),HOXC8,3224
AGA (175),AGA,175
PI4K2B (55300),PI4K2B,55300
BOD1L1 (259282),BOD1L1,259282
MAT2B (27430),MAT2B,27430
TLL1 (7092),TLL1,7092
EDC4 (23644),EDC4,23644
TRIO (7204),TRIO,7204
VCAN (1462),VCAN,1462
CLEC16A (23274),CLEC16A,23274
CDH1 (999),CDH1,999
MTREX (23517),MTREX,23517
DNAH5 (1767),DNAH5,1767
ZFYVE16 (9765),ZFYVE16,9765
RIPOR1 (79567),RIPOR1,79567
RAI14 (26064),RAI14,26064
SOX30 (11063),SOX30,11063
PNKP (11284),PNKP,11284
BEST2 (54831),BEST2,54831
PHLPP2 (23035),PHLPP2,23035
SPDL1 (54908),SPDL1,54908
STAU2 (27067),STAU2,27067
SLC66A1 (54896),SLC66A1,54896
CTNS (1497),CTNS,1497
RTN4R (65078),RTN4R,65078
PHF23 (79142),PHF23,79142
CDH10 (1008),CDH10,1008
INPP4A (3631),INPP4A,3631
RAB27B (5874),RAB27B,5874
PSMA4 (5685),PSMA4,5685
MYO16 (23026),MYO16,23026
LSG1 (55341),LSG1,55341
PARP3 (10039),PARP3,10039
TNC (3371),TNC,3371
THAP3 (90326),THAP3,90326
RIPOR3 (140876),RIPOR3,140876
TDP1 (55775),TDP1,55775
AIFM2 (84883),AIFM2,84883
SPATA7 (55812),SPATA7,55812
MED17 (9440),MED17,9440
RETSAT (54884),RETSAT,54884
CAPG (822),CAPG,822
AP2S1 (1175),AP2S1,1175
USH2A (7399),USH2A,7399
TG (7038),TG,7038
ADAM28 (10863),ADAM28,10863
BARX2 (8538),BARX2,8538
DCUN1D1 (54165),DCUN1D1,54165
JADE2 (23338),JADE2,23338
ZIC2 (7546),ZIC2,7546
LCP2 (3937),LCP2,3937
TRIT1 (54802),TRIT1,54802
ADRB1 (153),ADRB1,153
CUL7 (9820),CUL7,9820
CTNNA1 (1495),CTNNA1,1495
PHKA2 (5256),PHKA2,5256
CNTLN (54875),CNTLN,54875
EPHA3 (2042),EPHA3,2042
HSPA5 (3309),HSPA5,3309
DSG2 (1829),DSG2,1829
GEMIN8 (54960),GEMIN8,54960
OFD1 (8481),OFD1,8481
GPM6B (2824),GPM6B,2824
MAGEC2 (51438),MAGEC2,51438
PREX2 (80243),PREX2,80243
WDR37 (22884),WDR37,22884
YTHDC2 (64848),YTHDC2,64848
CTPS2 (56474),CTPS2,56474
ATP6V1H (51606),ATP6V1H,51606
POLR2B (5431),POLR2B,5431
ATOSA (56204),ATOSA,56204
ARAP2 (116984),ARAP2,116984
TPR (7175),TPR,7175
CP (1356),CP,1356
KATNIP (23247),KATNIP,23247
DTNBP1 (84062),DTNBP1,84062
XK (7504),XK,7504
ANO2 (57101),ANO2,57101
FERRY3 (57102),FERRY3,57102
SCML1 (6322),SCML1,6322
WWC3 (55841),WWC3,55841
ARHGAP6 (395),ARHGAP6,395
FAM184B (27146),FAM184B,27146
MAP4 (4134),MAP4,4134
GOPC (57120),GOPC,57120
ROS1 (6098),ROS1,6098
USP28 (57646),USP28,57646
HDAC9 (9734),HDAC9,9734
TSPAN17 (26262),TSPAN17,26262
NOP16 (51491),NOP16,51491
CC2D2A (57545),CC2D2A,57545
RRM2B (50484),RRM2B,50484
ZNF800 (168850),ZNF800,168850
TNFRSF17 (608),TNFRSF17,608
SNX29 (92017),SNX29,92017
LMO3 (55885),LMO3,55885
MRPS10 (55173),MRPS10,55173
RSF1 (51773),RSF1,51773
VPS13D (55187),VPS13D,55187
CELF2 (10659),CELF2,10659
FAM120A (23196),FAM120A,23196
R3HDM1 (23518),R3HDM1,23518
COL9A2 (1298),COL9A2,1298
KITLG (4254),KITLG,4254
ERCC8 (1161),ERCC8,1161
ADAMTS6 (11174),ADAMTS6,11174
H6PD (9563),H6PD,9563
VAMP3 (9341),VAMP3,9341
PER3 (8863),PER3,8863
TNFRSF9 (3604),TNFRSF9,3604
EPN3 (55040),EPN3,55040
LTBP1 (4052),LTBP1,4052
RCN1 (5954),RCN1,5954
ELN (2006),ELN,2006
RFC2 (5982),RFC2,5982
ARID1B (57492),ARID1B,57492
CLPTM1L (81037),CLPTM1L,81037
NEDD4L (23327),NEDD4L,23327
FOXP3 (50943),FOXP3,50943
PPP1R3F (89801),PPP1R3F,89801
HEXB (3074),HEXB,3074
PTCD2 (79810),PTCD2,79810
NEXMIF (340533),NEXMIF,340533
JKAMP (51528),JKAMP,51528
DKK3 (27122),DKK3,27122
ARHGEF5 (7984),ARHGEF5,7984
NFE2L3 (9603),NFE2L3,9603
MCUR1 (63933),MCUR1,63933
LIMA1 (51474),LIMA1,51474
LETMD1 (25875),LETMD1,25875
