Compuesto completo,Compuesto,n,Líneas celulares,Rho de Spearman,p-valor_Spearman,FDR_Spearman,n HER2-high,n HER2-low,Mediana AUC HER2-high,Mediana AUC HER2-low,Diferencia de medianas,p-valor_MannWhitney,Criterio n>=3,FDR_MannWhitney
AZD8330 (BRD:BRD-K37687095-001-06-9),AZD8330,20.0,20.0,0.29172932330827067,0.21202623258054826,0.632497173542649,3.0,5.0,0.604129830593274,0.607837389691048,-0.0037075590977739825,1.0,Sí,1.0
AZD8931 (BRD:BRD-K98572433-001-02-9),AZD8931,15.0,15.0,-0.7035714285714285,0.0034243370890839593,0.15190769301653867,5.0,4.0,0.6579763598081838,0.9050757428214717,-0.24709938301328793,0.031746031746031744,Sí,0.38228905597326646
AZD9668 (BRD:BRD-K31476763-001-01-5),AZD9668,14.0,14.0,-0.22637362637362637,0.4364347945560527,0.7799208652754643,,,,,,,,
AZILSARTAN (BRD:BRD-K81074237-001-02-3),AZILSARTAN,19.0,19.0,0.014035087719298246,0.9545239437308349,0.9893725661698659,4.0,4.0,0.9337901576746145,0.9253122743571229,0.008477883317491552,0.6857142857142857,Sí,0.9268518518518518
AZITHROMYCIN (BRD:BRD-K74501079-001-18-1),AZITHROMYCIN,16.0,16.0,0.15588235294117647,0.5642819694728023,0.8379312384400485,,,,,,,,
BAFETINIB (BRD:BRD-A75975749-001-01-4),BAFETINIB,14.0,14.0,0.17362637362637365,0.5527669411422413,0.8343473658608532,,,,,,,,
BAICALIN (BRD:BRD-K49962337-001-02-9),BAICALIN,15.0,15.0,0.06428571428571428,0.8199479653196377,0.949244531895759,,,,,,,,
BALAPIRAVIR (BRD:BRD-K47976015-001-01-2),BALAPIRAVIR,17.0,17.0,0.5147058823529412,0.03450769883204253,0.3204443395250724,,,,,,,,
BAM7 (BRD:BRD-K07442505-001-03-6),BAM7,11.0,11.0,0.4090909090909091,0.21154501034209602,0.632497173542649,,,,,,,,
BARASERTIB (BRD:BRD-K31928526-001-02-1),BARASERTIB,14.0,14.0,0.04175824175824176,0.8872869731890637,0.9746808320652924,,,,,,,,
BARASERTIB-HQPA (BRD:BRD-K63923597-001-10-0),BARASERTIB-HQPA,16.0,16.0,-0.27941176470588236,0.2946176535684143,0.7113692473211594,,,,,,,,
BARDOXOLONE (BRD:BRD-K20545304-001-01-6),BARDOXOLONE,15.0,15.0,0.017857142857142853,0.9496353041738619,0.9893725661698659,4.0,3.0,0.8543465759536766,0.794273003111462,0.060073572842214595,0.4,Sí,0.7268978084688055
BARDOXOLONE-METHYL (BRD:BRD-K69694239-001-02-2),BARDOXOLONE-METHYL,21.0,21.0,0.35974025974025975,0.10921076405040113,0.48950814546448834,4.0,5.0,0.884289586908812,0.6834669301891576,0.20082265671965438,0.06349206349206349,Sí,0.38228905597326646
BARICITINIB (BRD:BRD-K53581288-001-02-9),BARICITINIB,20.0,20.0,0.20902255639097742,0.37647233958713894,0.7641955766791809,4.0,5.0,0.9050898081094695,0.862837531028637,0.04225227708083246,0.4126984126984127,Sí,0.7268978084688055
BATIMASTAT (BRD:BRD-K82818427-001-04-8),BATIMASTAT,15.0,15.0,0.24285714285714283,0.38312834183934164,0.7663692375297371,,,,,,,,
BAY 869766 (BRD:BRD-K85751432-001-03-3),BAY 869766,18.0,18.0,0.1331269349845201,0.5984607651208831,0.8544481574931787,4.0,4.0,0.8323010035392531,0.7892359443669275,0.043065059172325615,1.0,Sí,1.0
BAY-11-7082 (BRD:BRD-K15025317-001-15-1),BAY-11-7082,21.0,21.0,0.1012987012987013,0.6621759840226068,0.8886039420850483,5.0,4.0,0.913334353488808,0.9145982364720785,-0.0012638829832705145,0.7301587301587302,Sí,0.9301799413157988
BAY-11-7085 (BRD:BRD-K48684885-001-04-2),BAY-11-7085,21.0,21.0,0.3064935064935065,0.17659418586665693,0.5974431652117167,5.0,5.0,0.861618167457043,0.850434274704159,0.011183892752884006,0.5476190476190477,Sí,0.8635265700483092
BAY-87-2243 (BRD:BRD-K70463136-001-01-5),BAY-87-2243,18.0,18.0,-0.2714138286893705,0.27595238461589006,0.6902718289400309,3.0,4.0,0.406797777132136,0.4551037924970275,-0.048306015364891486,0.8571428571428571,Sí,1.0
BECLOMETHASONE-DIPROPIONATE (BRD:BRD-K97810537-001-13-6),BECLOMETHASONE-DIPROPIONATE,15.0,15.0,0.15714285714285714,0.5759526006037947,0.841731368421053,,,,,,,,
BELINOSTAT (BRD:BRD-K17743125-001-08-4),BELINOSTAT,16.0,16.0,0.19411764705882353,0.47128972836210753,0.7928869441992983,3.0,3.0,0.8824069577278661,0.8526899576681913,0.029717000059674814,0.4,Sí,0.7268978084688055
BENDAMUSTINE (BRD:BRD-K17068645-003-04-2),BENDAMUSTINE,14.0,14.0,0.4901098901098901,0.07522006672685848,0.4158424847475296,,,,,,,,
BENTAZEPAM (BRD:BRD-K89490285-001-08-1),BENTAZEPAM,10.0,10.0,0.28484848484848485,0.4250381548921454,0.7784837999874641,,,,,,,,
BENZETHONIUM (BRD:BRD-K72723676-003-17-8),BENZETHONIUM,19.0,19.0,-0.17719298245614035,0.4680199619897409,0.7928869441992983,4.0,3.0,0.5247771072543425,0.742840067349181,-0.2180629600948385,0.4,Sí,0.7268978084688055
BENZOYLSTAUROSPORINE (BRD:BRD-K13646352-001-03-8),BENZOYLSTAUROSPORINE,20.0,20.0,0.39999999999999997,0.08055387210850923,0.42359491437769387,4.0,4.0,0.8307915961765795,0.669019822936811,0.16177177323976855,0.11428571428571428,Sí,0.42448979591836733
BENZYLDIMETHYLHEXADECYLAMMONIUM (BRD:BRD-K23403298-003-01-9),BENZYLDIMETHYLHEXADECYLAMMONIUM,11.0,11.0,0.5181818181818182,0.1024915397909638,0.466494998120727,,,,,,,,
