Compuesto completo,Compuesto,n,Líneas celulares,Rho de Spearman,p-valor,FDR
PD-168393 (BRD:BRD-K17702546-001-03-2),PD-168393,21,21,-0.43636363636363634,0.04796935978332507,0.3525300458925629
TRANILAST (BRD:BRD-K17849083-001-32-9),TRANILAST,21,21,0.43636363636363634,0.04796935978332507,0.3525300458925629
WAY-600 (BRD:BRD-K85920262-001-02-1),WAY-600,18,18,-0.4716202270381837,0.048168976789553265,0.3525300458925629
DOLUTEGRAVIR (BRD:BRD-K36386086-001-01-1),DOLUTEGRAVIR,17,17,-0.4852941176470589,0.048308194284258345,0.3525300458925629
VLX-600 (BRD:BRD-K89053832-001-01-0),VLX-600,17,17,0.4852941176470589,0.048308194284258345,0.3525300458925629
DACLATASVIR (BRD:BRD-K82861010-001-02-5),DACLATASVIR,14,14,-0.5340659340659341,0.04915991637198507,0.3558049684955969
CABAZITAXEL (BRD:BRD-K06858286-001-01-3),CABAZITAXEL,22,22,0.4217955957086392,0.05055239993921572,0.36290869224656486
PHENYLBUTAZONE (BRD:BRD-K10843433-001-22-7),PHENYLBUTAZONE,12,12,-0.5734265734265735,0.05126558978649151,0.3639341478491657
PALIPERIDONE (BRD:BRD-A99888680-001-03-8),PALIPERIDONE,13,13,0.5494505494505494,0.05177062555916278,0.3639341478491657
OTS167 (BRD:BRD-K53417444-003-03-1),OTS167,22,22,0.4195369847543761,0.051931713056619346,0.3639341478491657
LB42708 (BRD:BRD-K18834913-001-01-1),LB42708,21,21,0.42727272727272725,0.053370405215496956,0.3710714000416048
GALETERONE (BRD:BRD-A07986123-001-02-8),GALETERONE,20,20,-0.4360902255639097,0.05458409967322206,0.3741428027766642
CYCLOHEXIMIDE (BRD:BRD-K36055864-001-19-2),CYCLOHEXIMIDE,17,17,0.4730392156862746,0.055144481799935384,0.3741428027766642
EPOTHILONE-A (BRD:BRD-K71823332-001-03-7),EPOTHILONE-A,22,22,0.4138904573687183,0.05550702963051303,0.3741428027766642
SB-939 (BRD:BRD-K86797399-001-05-1),SB-939,22,22,0.4138904573687183,0.05550702963051303,0.3741428027766642
3-DEAZANEPLANOCIN-A (BRD:BRD-K77791657-003-01-7),3-DEAZANEPLANOCIN-A,21,21,0.4207792207792207,0.05750513790191279,0.3782528700529743
DANUSERTIB (BRD:BRD-K07881437-001-04-6),DANUSERTIB,21,21,0.4207792207792207,0.05750513790191279,0.3782528700529743
DOMIPHEN (BRD:BRD-K30431096-004-01-3),DOMIPHEN,17,17,0.46813725490196084,0.058071924895836145,0.3782528700529743
BIX-01294 (BRD:BRD-K26818574-305-04-3),BIX-01294,21,21,0.4194805194805195,0.05836062913446332,0.3782528700529743
CEPHALOMANNINE (BRD:BRD-K68904758-001-03-5),CEPHALOMANNINE,22,22,0.409373235460192,0.05850104223477929,0.3782528700529743
GW-583340 (BRD:BRD-K79930101-300-03-7),GW-583340,19,19,-0.4403508771929824,0.05917790378249743,0.3782528700529743
LY2784544 (BRD:BRD-K25630527-001-03-8),LY2784544,22,22,0.40824392998306047,0.05926851355254248,0.3782528700529743
ELACRIDAR (BRD:BRD-K88807631-001-01-3),ELACRIDAR,15,15,-0.4964285714285714,0.05979741374992394,0.3782528700529743
AVN-944 (BRD:BRD-K62196610-001-01-6),AVN-944,10,10,0.6121212121212121,0.05997214247725527,0.3782528700529743
MK-2461 (BRD:BRD-K56405753-001-02-4),MK-2461,11,11,0.5818181818181819,0.06041989621564838,0.37837424367672
PPT (BRD:BRD-K00312224-001-09-5),PPT,14,14,0.5120879120879122,0.0611984861564584,0.3805511498320618
DOLASTATIN-10 (BRD:BRD-K78567475-001-01-4),DOLASTATIN-10,21,21,0.4142857142857143,0.061879942683025164,0.38209782789588265
TIPIFARNIB (BRD:BRD-K62965247-001-04-9),TIPIFARNIB,19,19,0.4350877192982456,0.06263930438145028,0.3841007345056986
DEXRAZOXANE (BRD:BRD-K07265709-003-05-6),DEXRAZOXANE,19,19,0.4333333333333333,0.06382621222101989,0.38609573035697053
OXIPEROMIDE (BRD:BRD-K78096648-001-05-7),OXIPEROMIDE,14,14,0.5076923076923077,0.06383915813376863,0.38609573035697053
SPERMIDINE (BRD:BRD-K40438880-305-06-6),SPERMIDINE,16,16,-0.4705882352941176,0.06581947250108111,0.3953645865200994
TOSEDOSTAT (BRD:BRD-K92241597-001-06-0),TOSEDOSTAT,21,21,0.4051948051948052,0.0684236454174195,0.4082302628620367
9-AMINOACRIDINE (BRD:BRD-K00535541-001-06-3),9-AMINOACRIDINE,21,21,0.40389610389610386,0.06939949544788349,0.40853169653654076
PHENYLMERCURIC-ACETATE (BRD:BRD-K74193284-001-04-8),PHENYLMERCURIC-ACETATE,21,21,0.40389610389610386,0.06939949544788349,0.40853169653654076
CPI-1189 (BRD:BRD-K11073688-001-01-6),CPI-1189,11,11,0.5636363636363637,0.07095173447637551,0.41196636887186605
FLOXURIDINE (BRD:BRD-K47832606-001-30-1),FLOXURIDINE,20,20,0.4120300751879699,0.07104721866412453,0.41196636887186605
JK-184 (BRD:BRD-K38860038-001-01-2),JK-184,21,21,0.40129870129870127,0.07138262110690317,0.41196636887186605
GIVINOSTAT (BRD:BRD-K13810148-311-03-2),GIVINOSTAT,21,21,0.4,0.07239002577225485,0.4150674854344223
HEXAMINOLEVULINATE (BRD:BRD-K73753850-003-01-6),HEXAMINOLEVULINATE,20,20,0.4090225563909774,0.07334086574364806,0.4158424847475296
PROPRANOLOL (BRD:BRD-A10070317-003-28-3),PROPRANOLOL,10,10,-0.5878787878787878,0.07387770688865808,0.4158424847475296
BENDAMUSTINE (BRD:BRD-K17068645-003-04-2),BENDAMUSTINE,14,14,0.4901098901098901,0.07522006672685848,0.4158424847475296
TG-02 (BRD:BRD-K14560436-001-01-4),TG-02,22,22,0.3867871259175608,0.07536283227083158,0.4158424847475296
NSC-663284 (BRD:BRD-K03109492-001-02-2),NSC-663284,20,20,0.4060150375939849,0.0756893721143978,0.4158424847475296
VINCRISTINE (BRD:BRD-K12251893-065-04-7),VINCRISTINE,20,20,0.4060150375939849,0.0756893721143978,0.4158424847475296
EXATECAN-MESYLATE (BRD:BRD-K92150287-066-01-2),EXATECAN-MESYLATE,15,15,0.47142857142857136,0.07607042915033116,0.4158424847475296
EXELBINE (BRD:BRD-K69280563-001-01-8),EXELBINE,22,22,0.38565782044042923,0.07629273219603601,0.4158424847475296
MK-8745 (BRD:BRD-K25279140-001-01-5),MK-8745,19,19,0.4140350877192982,0.0780194939845629,0.41825598861034996
8-HYDROXY-PIPAT (BRD:BRD-A60594020-034-01-1),8-HYDROXY-PIPAT,16,16,-0.45294117647058824,0.07809874141672499,0.41825598861034996
TORIN-1 (BRD:BRD-K40175214-001-11-6),TORIN-1,22,22,-0.383399209486166,0.07817838660087374,0.41825598861034996
AT13387 (BRD:BRD-K58435339-001-03-0),AT13387,15,15,0.4678571428571427,0.07863023115438063,0.41825598861034996
BENZOYLSTAUROSPORINE (BRD:BRD-K13646352-001-03-8),BENZOYLSTAUROSPORINE,20,20,0.39999999999999997,0.08055387210850923,0.42359491437769387
ISPINESIB (BRD:BRD-K64881305-001-03-7),ISPINESIB,14,14,0.4813186813186813,0.08141829504280486,0.42359491437769387
LEVOBUNOLOL (BRD:BRD-K31812033-003-11-0),LEVOBUNOLOL,10,10,0.5757575757575757,0.08155281477260244,0.42359491437769387
UNC2250 (BRD:BRD-K01773560-001-02-4),UNC2250,10,10,-0.5757575757575757,0.08155281477260244,0.42359491437769387
LACITOL (BRD:BRD-K40787673-001-02-1),LACITOL,11,11,0.5454545454545455,0.08265095734417503,0.42678827681231907
NMS-E973 (BRD:BRD-K58770988-001-01-8),NMS-E973,21,21,0.38571428571428573,0.08418819066159455,0.4304510523486097
OXIRACETAM (BRD:BRD-K50677762-001-01-5),OXIRACETAM,18,18,0.4179566563467492,0.08435264811978462,0.4304510523486097
SB-505124 (BRD:BRD-K40109029-001-02-9),SB-505124,16,16,-0.4441176470588235,0.08482274417741573,0.4304510523486097
RALTITREXED (BRD:BRD-K89839824-001-05-3),RALTITREXED,21,21,0.38311688311688313,0.0864783097986004,0.4348815721831591
OUABAIN (BRD:BRD-K33277808-331-01-3),OUABAIN,19,19,0.40350877192982454,0.08668081166957645,0.4348815721831591
VX-765 (BRD:BRD-K26712974-001-01-5),VX-765,14,14,0.47252747252747257,0.0879674246125423,0.4388431408636997
SB-2343 (BRD:BRD-K98795921-001-01-7),SB-2343,22,22,-0.3709768492377189,0.08918063289216062,0.4396312173203439
AR-12 (BRD:BRD-K90497590-001-04-2),AR-12,20,20,0.38947368421052625,0.08961904769837135,0.4396312173203439
DACOMITINIB (BRD:BRD-K57169635-001-04-5),DACOMITINIB,20,20,-0.38947368421052625,0.08961904769837135,0.4396312173203439
PERUVOSIDE (BRD:BRD-A72716251-001-01-5),PERUVOSIDE,21,21,0.37792207792207794,0.09119661406939472,0.44489839902362177
COMBRETASTATIN-A-4 (BRD:BRD-K61195623-001-01-4),COMBRETASTATIN-A-4,21,21,0.3766233766233766,0.092405309430575,0.4483180671824051
BETA-LAPACHONE (BRD:BRD-K28061410-001-06-6),BETA-LAPACHONE,22,22,-0.36645962732919257,0.09345377564913727,0.450927234416329
LY2183240 (BRD:BRD-K37865504-001-04-1),LY2183240,16,16,0.4323529411764706,0.09442103753478692,0.4531183486044394
LONAFARNIB (BRD:BRD-K41599323-001-02-3),LONAFARNIB,16,16,0.4294117647058823,0.09693648522272376,0.4626752240630545
BIRABRESIB (BRD:BRD-K43471985-001-03-0),BIRABRESIB,10,10,-0.5515151515151515,0.09840117666963498,0.46496030030267527
KI-16425 (BRD:BRD-A25569250-001-03-3),KI-16425,14,14,0.4593406593406593,0.09846837616829024,0.46496030030267527
PLX 4720 (BRD:BRD-K16478699-001-09-2),PLX 4720,20,20,0.37744360902255636,0.10087319118710483,0.466494998120727
CHOLECALCIFEROL (BRD:BRD-K62779383-001-05-5),CHOLECALCIFEROL,21,21,0.3675324675324675,0.10119902708769574,0.466494998120727
RAPAMYCIN (BRD:BRD-K84937637-001-09-9),RAPAMYCIN,22,22,-0.35855448898927167,0.10129346168754431,0.466494998120727
IDAZOXAN (BRD:BRD-A18696154-003-22-6),IDAZOXAN,15,15,0.4392857142857142,0.10136057119347246,0.466494998120727
AFATINIB (BRD:BRD-K66175015-001-12-4),AFATINIB,14,14,-0.45494505494505494,0.10215352669182919,0.466494998120727
BENZYLDIMETHYLHEXADECYLAMMONIUM (BRD:BRD-K23403298-003-01-9),BENZYLDIMETHYLHEXADECYLAMMONIUM,11,11,0.5181818181818182,0.1024915397909638,0.466494998120727
VOLASERTIB (BRD:BRD-K69776681-001-03-8),VOLASERTIB,11,11,0.5181818181818182,0.1024915397909638,0.466494998120727
