Compuesto completo,Compuesto,n HER2-high,n HER2-low,Mediana AUC HER2-high,Mediana AUC HER2-low,Diferencia de medianas,p-valor,Criterio n>=3,FDR
BERZOSERTIB (BRD:BRD-K04701033-001-03-9),BERZOSERTIB,5,5,0.684651407389368,0.544677817601152,0.13997358978821606,0.09523809523809523,Sí,0.42448979591836733
CUDC-907 (BRD:BRD-K77638923-001-02-0),CUDC-907,5,5,0.487184123520068,0.426816201567535,0.06036792195253299,0.09523809523809523,Sí,0.42448979591836733
FLUVASTATIN (BRD:BRD-K66296774-236-11-3),FLUVASTATIN,5,5,0.87080430040993,0.763689898764151,0.1071144016457789,0.09523809523809523,Sí,0.42448979591836733
LY2784544 (BRD:BRD-K25630527-001-03-8),LY2784544,5,5,0.88233346727984,0.735484940995058,0.14684852628478196,0.09523809523809523,Sí,0.42448979591836733
OTS167 (BRD:BRD-K53417444-003-03-1),OTS167,5,5,0.552594813824468,0.344760020210571,0.20783479361389695,0.09523809523809523,Sí,0.42448979591836733
TUCATINIB (BRD:BRD-K26026438-001-01-0),TUCATINIB,5,5,0.6912884420880188,0.906733126252985,-0.2154446841649662,0.09523809523809523,Sí,0.42448979591836733
CH5132799 (BRD:BRD-K28352084-001-02-3),CH5132799,3,3,0.77563650641483,0.844102125857362,-0.06846561944253204,0.1,Sí,0.42448979591836733
DARIFENACIN (BRD:BRD-K95773607-004-03-8),DARIFENACIN,3,3,0.872958097523862,0.911773772502339,-0.038815674978477044,0.1,Sí,0.42448979591836733
LUCITANIB (BRD:BRD-K31309378-001-01-5),LUCITANIB,3,3,0.891299139649947,0.921551970580788,-0.030252830930840968,0.1,Sí,0.42448979591836733
MAYTANSINOL-ISOBUTYRATE (BRD:BRD-K15898725-001-01-7),MAYTANSINOL-ISOBUTYRATE,3,3,0.417640650939626,0.104649965543965,0.312990685395661,0.1,Sí,0.42448979591836733
POZIOTINIB (BRD:BRD-K50010139-001-01-5),POZIOTINIB,3,3,0.3462074136206009,0.9328161423435136,-0.5866087287229127,0.1,Sí,0.42448979591836733
PPT (BRD:BRD-K00312224-001-09-5),PPT,3,3,0.943847783269078,0.883656467629303,0.06019131563977498,0.1,Sí,0.42448979591836733
SATRAPLATIN (BRD:BRD-K42497885-001-01-1),SATRAPLATIN,3,3,0.924330490678627,0.847760918693244,0.07656957198538306,0.1,Sí,0.42448979591836733
10-DEACETYLBACCATIN (BRD:BRD-K96631475-001-02-4),10-DEACETYLBACCATIN,5,4,0.886749863282282,0.8053395987739835,0.08141026450829847,0.1111111111111111,Sí,0.42448979591836733
AK-55409 (BRD:BRD-K58772419-001-07-0),AK-55409,4,5,0.834145604848161,0.753335930912015,0.08080967393614602,0.1111111111111111,Sí,0.42448979591836733
AV-412 (BRD:BRD-K23190681-001-01-1),AV-412,5,4,0.895715650364685,0.835981171935742,0.05973447842894308,0.1111111111111111,Sí,0.42448979591836733
AZD7762 (BRD:BRD-K86525559-001-07-8),AZD7762,5,4,0.70510324726337,0.5448740142648605,0.16022923299850955,0.1111111111111111,Sí,0.42448979591836733
BNTX (BRD:BRD-A55484088-050-02-5),BNTX,5,4,0.942055949852863,0.8562129400926111,0.08584300976025194,0.1111111111111111,Sí,0.42448979591836733
CCT137690 (BRD:BRD-K03289018-001-02-7),CCT137690,4,5,0.8261623940060455,0.766198567959092,0.059963826046953494,0.1111111111111111,Sí,0.42448979591836733
DAUNORUBICIN (BRD:BRD-K43389675-001-02-1),DAUNORUBICIN,5,4,0.8467139641436761,0.7610686208421683,0.08564534330150775,0.1111111111111111,Sí,0.42448979591836733
DOXORUBICIN (BRD:BRD-K92093830-003-30-8),DOXORUBICIN,5,4,0.622687177938792,0.556735281981418,0.06595189595737405,0.1111111111111111,Sí,0.42448979591836733
IXAZOMIB-CITRATE (BRD:BRD-A66419424-001-02-4),IXAZOMIB-CITRATE,5,4,0.786264605684771,0.6848543760768651,0.10141022960790591,0.1111111111111111,Sí,0.42448979591836733
LLL CPD (BRD:BRD-K60230970-001-17-5),LLL CPD,5,4,0.550132236304948,0.508714416486028,0.04141781981892001,0.1111111111111111,Sí,0.42448979591836733
NSC-663284 (BRD:BRD-K03109492-001-02-2),NSC-663284,4,5,0.9485507574823424,0.890402509937663,0.0581482475446794,0.1111111111111111,Sí,0.42448979591836733
PIDNARULEX (BRD:BRD-K12787259-001-04-3),PIDNARULEX,5,4,0.819837309457967,0.733435621086163,0.08640168837180395,0.1111111111111111,Sí,0.42448979591836733
TEROXIRONE (BRD:BRD-A39935389-001-05-9),TEROXIRONE,4,5,0.821463163115016,0.719336038028659,0.10212712508635702,0.1111111111111111,Sí,0.42448979591836733
UNC0631 (BRD:BRD-K13060017-001-01-3),UNC0631,4,5,0.9617205533651041,0.897646501225521,0.06407405213958306,0.1111111111111111,Sí,0.42448979591836733
VANDETANIB (BRD:BRD-K77625799-001-07-7),VANDETANIB,5,4,0.8710481665112173,0.9484389158304679,-0.0773907493192506,0.1111111111111111,Sí,0.42448979591836733
(+)-CAMPTOTHECIN (BRD:BRD-K37890730-001-15-1),(+)-CAMPTOTHECIN,4,3,0.6129008768708155,0.28389512191629,0.3290057549545255,0.11428571428571428,Sí,0.42448979591836733
AFURESERTIB (BRD:BRD-K25412176-001-01-9),AFURESERTIB,4,4,0.7441727139258195,0.8283055254969991,-0.08413281157117958,0.11428571428571428,Sí,0.42448979591836733
ANGUIDINE (BRD:BRD-K45724504-001-01-6),ANGUIDINE,4,4,0.7212635235594115,0.5903855324024145,0.13087799115699694,0.11428571428571428,Sí,0.42448979591836733
AR-12 (BRD:BRD-K90497590-001-04-2),AR-12,4,4,0.901654634749476,0.7655344230723624,0.13612021167711363,0.11428571428571428,Sí,0.42448979591836733
BENZOYLSTAUROSPORINE (BRD:BRD-K13646352-001-03-8),BENZOYLSTAUROSPORINE,4,4,0.8307915961765795,0.669019822936811,0.16177177323976855,0.11428571428571428,Sí,0.42448979591836733
BMS-387032 (BRD:BRD-K43389698-001-09-9),BMS-387032,4,4,0.6920393589205784,0.535062691276408,0.1569766676441704,0.11428571428571428,Sí,0.42448979591836733
BRILLIANT-GREEN (BRD:BRD-K60348325-065-09-9),BRILLIANT-GREEN,4,4,0.6284383642451674,0.5443141347663485,0.08412422947881892,0.11428571428571428,Sí,0.42448979591836733
CYCLOCYTIDINE (BRD:BRD-K67536197-003-11-4),CYCLOCYTIDINE,4,4,0.79952496736198,0.7157753416102746,0.08374962575170541,0.11428571428571428,Sí,0.42448979591836733
DEXRAZOXANE (BRD:BRD-K07265709-003-05-6),DEXRAZOXANE,3,4,0.883496072194134,0.7883224638598675,0.09517360833426647,0.11428571428571428,Sí,0.42448979591836733
DOMIPHEN (BRD:BRD-K30431096-004-01-3),DOMIPHEN,3,4,0.905912449711381,0.8606608598796559,0.04525158983172506,0.11428571428571428,Sí,0.42448979591836733
DRONEDARONE (BRD:BRD-K05524748-003-04-4),DRONEDARONE,3,4,0.846256797013009,0.875868974326449,-0.029612177313439902,0.11428571428571428,Sí,0.42448979591836733
